lat,lon,type,fee,name
42.4294,-123.3489,fishing,no,
42.4289,-123.3495,fishing,no,
42.4289,-123.3482,fishing,no,
46.2645,-119.3066,slipway,yes,
43.3466,-124.324,slipway,no,Charleston Marina Boat Ramp
46.2805,-124.0452,seamark,no,
45.8749,-122.7796,slipway,no,
44.7997,-123.9066,slipway,no,
44.3736,-123.8359,slipway,no,Blackberry Campground boat launc
44.0486,-123.0509,slipway,no,
42.5033,-124.2952,slipway,no,
44.4077,-123.901,slipway,no,East Alsea Riviera Drive public 
45.9393,-119.311,slipway,no,
42.4373,-123.0422,slipway,no,Gold Hill Sports Park Boat Ramp
45.483,-123.8571,fishing,no,
45.4847,-123.8619,fishing,no,
44.924,-123.0748,slipway,no,
44.7462,-120.3641,slipway,no,
45.5502,-122.7025,berth,no,Dredge Essayons
45.5499,-122.7038,berth,no,Dredge Yaquina
45.8571,-122.672,slipway,no,Kayak Launch
45.8591,-122.6717,slipway,no,
44.4541,-123.2101,slipway,no,
45.8657,-122.7159,slipway,no,CD Hale Road
42.3144,-121.9423,slipway,no,Wocus Bay Boat Launch
42.4778,-122.0871,slipway,no,Rocky Point Public Boat Ramp
42.6331,-124.0501,seamark,yes,
